Apple,130.0,0.0,0.0,260.0,34.0,5.0,25.0,1.0,0.0,0.0,
Asparagus,20.0,0.0,0.0,230.0,4.0,2.0,2.0,2.0,0.0,0.0,
Avocado,50.0,4.5,0.0,140.0,3.0,1.0,0.0,1.0,0.0,0.0,
Banana,110.0,0.0,0.0,450.0,30.0,3.0,19.0,1.0,0.0,0.0,
Bell Pepper,25.0,0.0,40.0,220.0,6.0,2.0,4.0,1.0,0.0,0.0,
Blue Crab,100.0,1.0,330.0,300.0,0.0,0.0,0.0,20.0,0.0,32.0,
Broccoli,45.0,0.5,80.0,460.0,8.0,3.0,2.0,4.0,0.0,0.0,
Cantaloupe,50.0,0.0,20.0,240.0,12.0,1.0,11.0,1.0,0.0,0.0,
Carrot,30.0,0.0,60.0,250.0,7.0,2.0,5.0,1.0,0.0,0.0,
Catfish,130.0,6.0,40.0,230.0,0.0,0.0,0.0,17.0,10.0,17.0,
Cauliflower,25.0,0.0,30.0,270.0,5.0,2.0,2.0,2.0,0.0,0.0,
Celery,15.0,0.0,115.0,260.0,4.0,2.0,2.0,0.0,0.0,0.0,
Clams,110.0,1.5,95.0,470.0,6.0,0.0,0.0,17.0,0.0,27.0,
Cod,90.0,1.0,65.0,460.0,0.0,0.0,0.0,20.0,0.0,17.0,
Cucumber,10.0,0.0,0.0,140.0,2.0,1.0,1.0,1.0,0.0,0.0,
Flounder/Sole,100.0,1.5,100.0,390.0,0.0,0.0,0.0,19.0,0.0,18.0,
Grapefruit,60.0,0.0,0.0,160.0,15.0,2.0,11.0,1.0,0.0,0.0,
Grapes,90.0,0.0,15.0,240.0,23.0,1.0,20.0,0.0,0.0,0.0,
Green (Snap) Beans,20.0,0.0,0.0,200.0,5.0,3.0,2.0,1.0,0.0,0.0,
Green Cabbage,25.0,0.0,20.0,190.0,5.0,2.0,3.0,1.0,0.0,0.0,
Green Onion,10.0,0.0,10.0,70.0,2.0,1.0,1.0,0.0,0.0,0.0,
Haddock,100.0,1.0,85.0,340.0,0.0,0.0,0.0,21.0,0.0,23.0,
Halibut,120.0,2.0,60.0,500.0,0.0,0.0,0.0,23.0,0.0,13.0,
Honeydew Melon,50.0,0.0,30.0,210.0,12.0,1.0,11.0,1.0,0.0,0.0,
Iceberg Lettuce,10.0,0.0,10.0,125.0,2.0,1.0,2.0,1.0,0.0,0.0,
Kiwifruit,90.0,1.0,0.0,450.0,20.0,4.0,13.0,1.0,0.0,0.0,
Leaf Lettuce,15.0,0.0,35.0,170.0,2.0,1.0,1.0,1.0,0.0,0.0,
Lemon,15.0,0.0,0.0,75.0,5.0,2.0,2.0,0.0,0.0,0.0,
Lime,20.0,0.0,0.0,75.0,7.0,2.0,0.0,0.0,0.0,0.0,
Lobster,80.0,0.5,320.0,300.0,1.0,0.0,0.0,17.0,0.0,20.0,
Mushrooms,20.0,0.0,15.0,300.0,3.0,1.0,0.0,3.0,0.0,0.0,
Nectarine,60.0,0.5,0.0,250.0,15.0,2.0,11.0,1.0,0.0,0.0,
Ocean Perch,110.0,2.0,95.0,290.0,0.0,0.0,0.0,21.0,3.0,15.0,
Onion,45.0,0.0,5.0,190.0,11.0,3.0,9.0,1.0,0.0,0.0,
Orange,80.0,0.0,0.0,250.0,19.0,3.0,14.0,1.0,0.0,0.0,
Orange Roughy,80.0,1.0,70.0,340.0,0.0,0.0,0.0,16.0,0.0,7.0,
Oysters,100.0,4.0,300.0,220.0,6.0,0.0,0.0,10.0,5.0,27.0,
Peach,60.0,0.5,0.0,230.0,15.0,2.0,13.0,1.0,0.0,0.0,
Pear,100.0,0.0,0.0,190.0,26.0,6.0,16.0,1.0,0.0,0.0,
Pineapple,50.0,0.0,10.0,120.0,13.0,1.0,10.0,1.0,0.0,0.0,
Plums,70.0,0.0,0.0,230.0,19.0,2.0,16.0,1.0,0.0,0.0,
Pollock,90.0,1.0,110.0,370.0,0.0,0.0,0.0,20.0,0.0,27.0,
Potato,110.0,0.0,0.0,620.0,26.0,2.0,1.0,3.0,0.0,0.0,
Radishes,10.0,0.0,55.0,190.0,3.0,1.0,2.0,0.0,0.0,0.0,
Rainbow Trout,140.0,6.0,35.0,370.0,0.0,0.0,0.0,20.0,10.0,18.0,
Rockfish,110.0,2.0,70.0,440.0,0.0,0.0,0.0,21.0,0.0,13.0,
Salmon,200.0,10.0,55.0,430.0,0.0,0.0,0.0,24.0,10.0,23.0,
Salmon,130.0,4.0,65.0,420.0,0.0,0.0,0.0,22.0,5.0,23.0,
Scallops,140.0,1.0,310.0,430.0,5.0,0.0,0.0,27.0,0.0,22.0,
Shrimp,100.0,1.5,240.0,220.0,0.0,0.0,0.0,21.0,0.0,57.0,
Strawberries,50.0,0.0,0.0,170.0,11.0,2.0,8.0,1.0,0.0,0.0,
Summer Squash,20.0,0.0,0.0,260.0,4.0,2.0,2.0,1.0,0.0,0.0,
Sweet Cherries,100.0,0.0,0.0,350.0,26.0,1.0,16.0,1.0,0.0,0.0,
Sweet Corn,90.0,2.5,0.0,250.0,18.0,2.0,5.0,4.0,0.0,0.0,
Sweet Potato,100.0,0.0,70.0,440.0,23.0,4.0,7.0,2.0,0.0,0.0,
Swordfish,120.0,6.0,100.0,310.0,0.0,0.0,0.0,16.0,8.0,13.0,
Tangerine,50.0,0.0,0.0,160.0,13.0,2.0,9.0,1.0,0.0,0.0,
Tilapia,110.0,2.5,30.0,360.0,0.0,0.0,0.0,22.0,5.0,25.0,
Tomato,25.0,0.0,20.0,340.0,5.0,1.0,3.0,1.0,0.0,0.0,
Tuna,130.0,1.5,40.0,480.0,0.0,0.0,0.0,26.0,0.0,17.0,
Watermelon,80.0,0.0,0.0,270.0,21.0,1.0,20.0,1.0,0.0,0.0,